host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,about_length,days_hosting,num_verifications,num_amenities
within a few hours,0.96,0.93,t,7,t,t,Private room,2,2 shared baths,1,1,92,2,90,5,30,57,328,448,28,3,4.76,4.9,4.77,4.92,4.91,4.97,4.8,f,4.8,31,3011,8,20
within a few hours,1,1,t,0,t,t,Entire home/apt,3,1 bath,1,2,97,3,31,8,21,42,132,15,15,5,4.93,5,5,5,5,4.87,4.93,f,3.54,51,3967,6,35
within an hour,1,0.95,t,6,t,f,Entire home/apt,6,2 baths,2,3,165,28,180,0,6,36,311,348,33,0,4.93,4.92,4.92,4.99,4.99,4.75,4.84,f,3.98,114,3339,8,35
within a few hours,1,1,f,2,t,f,Entire home/apt,2,1 bath,1,1,49,29,1125,0,0,6,79,217,7,1,4.92,4.96,4.99,4.95,4.96,4.69,4.87,t,2.47,36,2841,4,31
within an hour,1,0.97,t,6,t,t,Entire home/apt,2,1 bath,1,1,120,30,1124,17,47,77,93,223,1,0,4.89,4.95,4.96,4.97,4.98,4.88,4.81,f,5.26,154,2834,7,46
within an hour,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,1,101,2,7,8,26,51,141,304,69,9,4.87,4.94,4.9,4.99,4.98,4.89,4.82,t,4.82,121,2833,5,27
within an hour,0.88,0.5,t,1,t,t,Private room,2,1 private bath,1,1,65,28,1125,3,3,3,142,37,3,0,4.76,4.78,4.7,4.95,4.92,4.84,4.7,f,0.42,0,3824,5,35
within an hour,1,0.99,t,3,t,t,Private room,2,1 private bath,1,1,98,1,1125,9,32,58,331,822,73,6,4.85,4.89,4.81,4.95,4.94,4.93,4.84,t,9.66,114,3016,5,41
within an hour,1,1,t,3,t,t,Entire home/apt,4,1 bath,1,1,200,1,90,3,9,23,297,549,108,11,4.96,4.98,4.99,4.99,5,4.96,4.81,t,6.52,18,3452,5,22
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,82,2,30,14,44,74,74,138,33,4,4.92,4.92,4.96,4.98,4.97,4.95,4.91,t,2.87,9,2797,6,22
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,2,2,147,2,1125,4,17,33,286,268,56,2,4.88,4.91,4.93,4.98,4.94,4.93,4.87,t,3.03,42,2885,4,34
within an hour,1,0.61,t,6,t,t,Entire home/apt,14,3.5 baths,6,8,542,2,60,17,17,17,17,39,0,0,4.53,4.63,4.56,4.88,4.78,4.66,4.41,f,0.42,114,2928,6,42
within an hour,1,0.97,t,1,t,t,Entire home/apt,2,1 bath,1,2,79,2,30,1,8,20,267,126,65,5,4.83,4.88,4.86,4.81,4.79,4.98,4.81,t,1.58,0,2772,4,40
within an hour,1,0.97,t,6,t,t,Entire home/apt,2,1 bath,1,1,105,30,1124,0,16,31,31,195,1,0,4.89,4.93,4.96,4.95,4.99,4.85,4.82,f,2.26,154,2834,7,32
within an hour,1,0.99,t,1,t,t,Entire home/apt,4,1 bath,1,3,140,1,1125,6,22,46,285,325,51,2,4.92,4.94,4.87,4.97,4.94,4.91,4.9,t,11.75,70,2728,5,55
within an hour,1,0.99,t,3,t,t,Entire home/apt,2,1 bath,1,1,112,2,30,11,30,58,333,514,63,6,4.92,4.94,4.97,4.99,4.99,4.94,4.89,t,12.12,43,2783,4,26
within an hour,1,0.94,t,3,t,t,Entire home/apt,2,1 bath,1,1,94,90,365,0,0,0,28,180,0,0,4.79,4.91,4.88,4.98,4.96,4.72,4.8,t,2,48,2993,7,51
within an hour,1,1,t,6,t,t,Entire home/apt,4,1 bath,2,2,153,1,1125,4,25,47,318,303,17,2,4.86,4.92,4.94,4.95,4.96,4.87,4.85,t,15.73,0,2710,5,29
within an hour,1,1,t,6,t,t,Entire home/apt,6,1 bath,3,3,211,1,1125,4,13,26,279,369,32,2,4.82,4.87,4.9,4.95,4.94,4.79,4.76,t,6.37,0,2710,5,42
within an hour,1,1,t,6,t,t,Entire home/apt,8,2 baths,3,3,219,1,60,10,25,41,288,319,42,4,4.86,4.91,4.93,4.97,4.94,4.88,4.83,t,3.69,0,2710,5,28
within an hour,1,1,t,2,t,t,Private room,2,1 private bath,1,1,48,1,7,9,31,51,51,706,85,5,4.71,4.89,4.76,4.91,4.84,4.8,4.8,f,9.07,250,2695,10,18
within a day,1,0.81,t,5,t,f,Entire home/apt,2,1 bath,1,2,75,2,3,6,32,62,62,160,21,3,4.83,4.81,4.77,4.96,4.95,4.77,4.78,f,1.84,13,4113,5,34
within a few hours,1,1,f,0,t,f,Entire home/apt,4,2 baths,2,0,170,3,14,0,0,0,0,2,2,0,5,5,5,5,5,5,5,f,0.69,97,3502,3,24
within an hour,1,1,t,2,t,t,Private room,3,1 private bath,1,1,52,1,7,11,32,62,62,949,147,7,4.72,4.9,4.75,4.92,4.84,4.79,4.86,f,10.82,250,2695,10,25
within an hour,1,1,t,1,t,t,Entire home/apt,4,2 baths,2,2,179,2,99,8,22,38,163,204,48,5,4.93,4.95,4.95,4.99,4.99,4.92,4.89,t,4.7,36,2808,5,35
within an hour,1,1,t,1,t,t,Entire home/apt,3,1 bath,1,2,76,29,365,0,17,19,154,14,5,1,5,5,5,5,5,5,4.77,f,0.19,16,2674,5,40
within an hour,1,1,t,3,t,t,Entire home/apt,4,1 bath,2,2,101,1,30,6,23,25,25,162,32,4,4.73,4.92,4.68,4.98,4.98,4.91,4.77,t,3.24,0,2656,7,34
within an hour,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,1,132,2,14,5,19,25,291,239,54,6,4.94,4.91,4.97,4.97,4.95,4.92,4.88,t,4.4,0,2653,5,38
within an hour,1,0.97,t,2,t,t,Entire home/apt,6,1 bath,1,3,96,1,1125,2,6,24,261,465,55,2,4.92,4.94,4.95,4.96,4.98,4.94,4.9,f,10.95,112,2647,7,39
within an hour,1,0.82,f,3,t,t,Entire home/apt,4,1 bath,1,1,141,1,1125,8,25,55,330,342,49,0,4.61,4.63,4.75,4.93,4.89,4.54,4.46,f,21.15,63,3442,6,21
within an hour,1,1,t,1,t,t,Entire home/apt,6,2 baths,3,3,286,3,28,9,19,33,297,164,18,1,4.89,4.91,4.87,4.96,4.98,4.87,4.8,f,2.18,56,2628,5,36
within an hour,1,1,t,1,t,t,Entire home/apt,3,1 bath,1,1,124,2,1125,14,35,58,238,291,39,5,4.79,4.83,4.78,4.92,4.84,4.85,4.73,t,3.89,9,2623,7,27
within an hour,1,1,t,0,t,t,Entire home/apt,4,1 bath,2,2,246,1,1125,12,30,51,51,52,13,6,4.85,4.92,4.92,4.98,4.96,4.76,4.78,f,0.61,65,2620,5,34
within an hour,1,0.95,t,1,t,t,Entire home/apt,3,1 bath,1,1,156,2,1125,14,42,72,347,194,52,2,4.93,4.96,4.96,4.95,4.96,4.95,4.88,t,3.99,424,2825,4,35
within a few hours,1,0.77,t,1,t,f,Private room,2,1 private bath,1,1,55,1,90,2,27,39,298,163,20,2,4.92,4.93,4.88,4.99,4.98,4.85,4.88,f,1.89,196,3549,4,30
within an hour,1,1,t,2,t,f,Entire home/apt,2,1 bath,1,1,310,2,1125,1,12,30,283,202,37,2,4.99,4.97,4.98,4.99,4.98,4.97,4.88,t,4.89,0,2600,5,37
within an hour,1,1,t,2,t,f,Entire home/apt,2,1 bath,1,1,270,2,1125,2,13,27,277,77,14,0,4.99,4.99,4.97,4.99,5,4.97,4.86,t,1.42,0,2600,5,38
within an hour,1,0.98,t,2,t,t,Entire home/apt,6,1 bath,3,3,111,2,60,10,28,50,140,274,74,6,4.88,4.93,4.88,4.98,5,4.8,4.87,f,3.56,53,3926,10,36
