host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,about_length,days_hosting,num_verifications,num_amenities
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,72,1,1125,11,36,62,337,269,93,12,4.96,4.96,4.96,4.99,4.99,4.91,4.93,t,78.35,209,1505,7,48
within an hour,1,0.99,t,2,t,t,Entire home/apt,2,1 bath,1,1,136,3,28,5,11,27,200,290,87,5,4.97,4.98,5,5,4.98,4.87,4.93,t,5.8,106,3312,6,20
within an hour,1,0.82,f,3,t,t,Entire home/apt,4,1 bath,1,2,111,1,1125,7,19,49,324,64,35,1,4.55,4.81,4.75,4.89,4.91,4.86,4.5,f,13.62,63,3442,6,15
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,1,1,153,2,1125,0,18,48,48,128,32,3,4.92,4.99,4.98,4.98,4.97,4.93,4.78,t,5.94,10,3624,7,20
within a few hours,1,0.86,t,1,t,t,Entire home/apt,2,1 bath,1,1,159,28,1125,16,30,30,30,121,3,0,4.98,4.97,4.98,4.99,4.99,4.9,4.89,f,4.25,0,1542,8,38
within an hour,1,1,f,15,t,t,Entire home/apt,2,1 bath,1,1,114,1,1125,13,35,65,340,161,55,2,4.34,4.52,4.47,4.84,4.68,4.88,4.23,t,4.73,64,2203,6,33
within an hour,1,0.99,t,1,t,t,Entire home/apt,2,1 bath,1,1,132,3,1125,7,28,46,136,154,42,4,4.95,4.95,4.9,4.99,4.99,4.98,4.87,t,3.11,68,1588,7,25
within an hour,1,1,t,1,t,t,Entire home/apt,10,2.5 baths,3,6,100,30,1125,19,42,43,190,21,5,2,5,5,4.95,5,5,5,4.85,f,0.46,44,2030,6,39
within an hour,1,1,t,1,t,t,Private room,4,2 baths,2,2,127,3,1125,9,29,59,330,60,29,2,4.82,4.82,4.77,4.98,4.88,4.93,4.87,t,2.47,11,1698,8,28
within an hour,1,1,t,1,t,t,Entire home/apt,7,1 bath,3,5,233,2,28,12,34,57,147,174,47,3,4.93,4.94,4.98,4.99,4.99,4.72,4.84,t,38.1,0,3107,6,39
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,1,2,129,2,1125,6,24,49,139,148,16,7,4.95,4.97,4.99,4.99,5,4.99,4.85,t,3.52,108,2052,7,40
within an hour,0.98,0.96,t,10,t,t,Entire home/apt,6,2 baths,3,4,464,2,21,18,36,62,239,151,39,1,4.94,4.97,4.98,4.97,4.95,4.95,4.74,f,7.59,49,3099,4,36
within an hour,1,1,t,1,t,t,Entire home/apt,5,2 baths,2,2,235,2,1125,3,21,37,295,173,44,3,4.99,4.98,4.96,5,4.98,4.95,4.95,t,3.97,54,1859,8,58
within an hour,1,0.99,t,2,t,t,Entire home/apt,2,1 bath,1,1,122,3,1124,18,41,71,346,135,38,4,4.87,4.85,4.89,4.87,4.93,4.89,4.73,f,3.44,102,1873,6,38
within an hour,1,1,t,2,t,f,Entire home/apt,4,1 bath,2,2,164,2,1125,8,25,42,314,167,56,3,4.9,4.94,4.92,4.95,4.95,4.92,4.84,t,4.3,284,1484,3,39
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,116,2,1125,5,16,32,299,181,72,5,4.94,4.98,4.96,4.99,5,4.96,4.95,t,4.13,81,3157,7,36
within an hour,1,1,t,4,t,t,Private room,2,1 private bath,1,1,77,1,5,23,53,83,358,121,45,8,4.87,4.88,4.89,4.92,4.99,4.83,4.85,f,3.06,0,1656,5,38
within an hour,1,1,t,4,t,t,Private room,2,1 private bath,1,1,77,1,3,21,51,81,356,21,10,2,4.62,4.62,4.81,4.86,4.76,4.62,4.62,t,0.49,0,1656,5,18
within an hour,1,1,t,2,t,t,Private room,2,1 private bath,1,1,76,1,31,10,16,16,16,85,23,2,4.89,4.96,4.99,4.99,4.9,4.88,4.86,f,1.77,10,2883,8,41
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,1,3,75,2,7,6,16,30,296,356,107,8,4.97,4.99,4.96,4.99,4.99,4.93,4.98,f,10.79,88,1478,6,43
within an hour,0.99,0.98,t,171,t,t,Entire home/apt,6,3 baths,3,3,434,2,365,18,40,66,341,20,6,0,4.85,4.85,4.95,5,5,4.75,4.6,t,0.46,63,1853,7,33
within an hour,1,0.97,t,4,t,t,Entire home/apt,4,2 baths,2,2,239,5,12,10,27,57,57,21,7,0,4.95,5,4.9,4.86,5,4.76,4.86,f,0.59,34,2089,9,34
within an hour,1,0.98,t,4,t,t,Private room,2,1 shared bath,1,1,83,2,7,0,0,0,0,213,41,2,4.89,4.94,4.92,4.97,4.93,4.83,4.96,t,5.27,22,1473,6,32
within an hour,1,0.96,t,1,t,t,Entire home/apt,2,1 bath,1,0,98,2,1125,9,34,57,324,141,36,5,4.97,4.98,4.98,5,5,4.91,4.91,f,3.49,76,3396,8,26
within an hour,1,0.98,t,4,t,t,Private room,2,1 shared bath,1,0,56,2,7,0,0,0,0,123,31,0,4.87,4.98,4.92,4.96,4.93,4.77,4.88,t,4.26,22,1473,6,23
within an hour,1,0.86,t,9,t,t,Entire home/apt,2,1 bath,1,1,102,1,90,23,53,83,358,184,51,1,4.74,4.78,4.84,4.98,4.9,4.86,4.63,f,6.4,0,2026,8,23
within an hour,1,0.95,t,2,t,t,Private room,3,1 private bath,1,2,87,1,5,18,23,53,143,79,18,2,4.92,4.97,4.82,4.97,4.97,4.95,4.81,f,1.73,200,2025,8,24
within an hour,1,0.99,t,4,t,t,Entire home/apt,12,4.5 baths,4,4,377,3,1125,0,0,0,0,145,49,3,4.98,4.97,4.93,4.99,4.99,4.9,4.92,t,3.14,83,2293,8,48
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,96,2,1124,10,40,70,343,86,24,4,4.97,5,4.99,4.99,5,4.92,4.95,f,1.86,24,1463,5,25
within an hour,1,0.87,t,1,t,t,Entire home/apt,4,1 bath,1,3,67,2,7,15,15,15,15,131,30,3,4.78,4.86,4.87,4.94,4.97,4.83,4.92,f,2.89,16,1462,3,39
within an hour,1,0.94,t,1,t,t,Private room,2,1 private bath,1,2,34,21,45,3,4,5,95,3,2,0,5,5,5,5,5,5,5,f,0.14,104,1687,6,58
within an hour,1,0.96,t,1,t,f,Entire home/apt,4,1 bath,1,1,116,2,1125,11,37,67,342,123,36,4,4.93,4.99,4.95,5,5,4.94,4.92,t,2.66,110,1458,4,37
within a few hours,1,0.95,t,1,t,t,Entire home/apt,6,2 baths,2,3,148,2,31,5,23,42,132,102,24,3,4.97,4.98,4.96,5,5,4.89,4.98,f,4.11,0,1537,6,33
within an hour,1,0.86,t,9,t,t,Entire home/apt,2,1 bath,1,1,95,1,5,26,56,86,86,13,1,0,4.62,4.54,4.62,4.46,4.62,4.69,4.77,f,0.28,0,2026,8,26
within an hour,1,1,f,244,t,t,Entire home/apt,8,2 baths,3,5,317,2,1125,15,30,55,309,14,10,1,4.71,4.79,4.93,4.93,4.79,4.79,4.57,t,0.87,61,1673,3,26
within an hour,1,1,t,4,t,t,Entire home/apt,4,1 bath,1,2,102,1,1125,6,26,46,226,393,108,5,4.84,4.94,4.94,4.95,4.94,4.84,4.93,t,9.21,23,1552,8,22
within an hour,1,1,t,4,t,f,Private room,4,1.5 shared baths,2,2,90,2,90,0,0,0,1,47,1,0,5,4.98,5,4.96,4.96,4.94,4.98,t,4.85,101,1437,3,35
within a day,1,0.77,f,2,t,t,Entire home/apt,2,1 bath,1,2,150,2,1125,9,30,56,331,36,17,3,4.86,4.91,4.83,4.89,4.86,4.97,4.77,f,0.82,137,2791,9,43
within an hour,1,1,t,2,t,t,Entire home/apt,3,1 bath,1,2,85,30,1125,2,28,44,243,3,0,0,5,4.67,5,5,5,5,5,t,0.1,0,1654,7,52
within a day,1,0.81,f,1,t,f,Entire home/apt,8,2 baths,4,4,211,2,60,7,7,14,283,72,8,2,4.73,4.86,4.49,5,4.97,4.94,4.86,f,2.71,0,2791,5,46
within an hour,1,0.95,t,2,t,t,Entire home/apt,2,1 bath,1,1,102,2,60,0,0,0,0,110,7,0,4.94,4.97,4.99,4.97,4.96,4.94,4.84,f,3.09,36,3167,5,24
within an hour,0.9,1,t,9,t,t,Entire home/apt,4,1 bath,2,2,195,1,365,4,12,17,230,57,25,0,4.98,5,4.98,5,4.98,4.95,4.89,t,10.18,0,2982,4,33
within an hour,1,1,t,2,t,t,Entire home/apt,4,1 bath,1,2,98,2,60,8,26,39,301,443,118,15,4.99,4.99,4.98,5,5,4.93,4.99,t,12.62,321,1553,8,51
within an hour,0.9,0.92,f,2,t,t,Entire home/apt,4,1 bath,2,2,185,2,365,17,40,61,293,63,16,2,4.74,4.81,4.66,4.82,4.55,4.87,4.58,t,1.43,0,1420,2,28
within an hour,1,1,t,1,t,t,Entire home/apt,6,1 bath,2,3,140,2,28,13,30,49,324,97,35,4,4.93,4.91,4.93,4.97,4.99,4.94,4.88,t,3.17,100,2869,6,34
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,60,1,30,1,15,39,39,225,54,7,4.93,4.96,4.96,5,4.96,4.95,4.95,t,9.4,32,3333,5,21
within an hour,0.95,1,f,0,t,t,Entire home/apt,4,2 baths,2,2,185,1,1125,7,27,54,317,6,2,0,4.5,4.33,4.5,4.67,4.83,5,4.17,t,0.27,101,2974,5,19
within an hour,1,0.99,t,3,t,t,Private room,1,1 shared bath,1,1,88,1,1125,12,12,12,12,327,30,4,4.98,4.97,4.97,4.97,4.99,4.96,4.98,f,7.83,13,4059,9,50
within an hour,1,0.95,t,1,t,t,Entire home/apt,6,1 bath,2,2,146,1,28,7,37,61,336,65,21,2,4.86,4.82,4.77,4.98,4.95,4.91,4.77,t,1.76,122,1413,4,25
within an hour,1,1,f,5,t,t,Private room,2,1 private bath,1,1,191,1,365,8,34,34,34,2,2,0,5,5,4.5,5,5,5,5,t,0.18,61,1412,7,20
within an hour,1,1,f,5,t,t,Private room,3,1 private bath,2,2,269,1,365,1,10,10,10,1,1,0,5,5,5,5,5,5,5,t,0.38,61,1412,7,26
within an hour,1,1,t,1,t,t,Entire home/apt,9,3 baths,4,5,285,2,90,7,25,46,313,205,38,1,4.98,4.98,4.97,4.98,4.98,4.91,4.89,t,8.82,0,1411,3,36
within an hour,1,0.99,f,2,t,t,Entire home/apt,4,1 bath,1,1,106,2,30,18,44,74,349,122,33,2,4.96,4.93,4.96,4.87,4.93,4.82,4.85,t,2.91,92,1550,8,26
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,1,1,109,2,1125,4,18,39,279,127,17,1,4.96,4.96,4.97,4.98,4.98,4.96,4.93,f,4.7,85,1876,6,32
within an hour,1,0.98,t,2,t,t,Entire home/apt,4,1 bath,2,2,224,1,1124,15,42,67,155,130,36,4,4.98,4.99,4.98,5,5,4.89,4.88,f,2.82,74,2502,9,39
within an hour,1,0.98,f,4,t,f,Entire home/apt,8,2 baths,3,4,229,1,365,12,31,47,259,256,80,4,4.57,4.65,4.43,4.93,4.87,4.7,4.57,t,6.33,76,2708,4,42
within an hour,1,1,t,1,t,t,Entire home/apt,12,2 baths,4,6,206,2,1125,14,31,46,321,176,48,2,4.88,4.89,4.94,4.97,4.98,4.82,4.86,t,3.98,0,1400,5,41
within a day,0.9,0.86,t,3,t,t,Entire home/apt,2,0 baths,1,1,51,30,1125,0,0,12,253,10,5,0,4.89,4.89,4.78,5,5,5,4.78,f,0.25,120,2330,4,27
within a day,1,0.83,t,1,t,f,Entire home/apt,4,2 baths,2,2,72,30,365,0,16,19,213,40,2,0,4.98,4.98,4.95,4.98,4.95,4.93,4.9,t,0.99,13,1398,2,38
within an hour,1,1,t,3,t,t,Private room,2,1 shared bath,1,1,41,1,1125,6,32,62,152,467,143,15,4.83,4.92,4.83,4.98,4.97,4.87,4.87,t,12.84,30,3374,9,24
within an hour,1,1,t,3,t,t,Private room,2,1 shared bath,1,1,33,30,360,0,23,38,264,140,2,0,4.86,4.97,4.96,4.97,4.97,4.89,4.91,t,3.55,30,3374,9,24
within an hour,1,1,f,1,t,f,Entire home/apt,4,1 bath,2,3,110,29,1125,1,2,17,115,2,2,0,4,4.5,4,5,5,5,3.5,t,0.34,59,1390,2,38
within an hour,0.85,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,136,2,7,10,26,26,26,439,107,5,4.93,4.94,4.98,4.99,4.96,4.94,4.93,t,15.6,7,2630,7,19
within an hour,1,1,t,1,t,t,Entire home/apt,8,1 bath,3,5,164,1,60,5,22,36,123,376,99,8,4.96,4.97,4.91,4.99,4.99,4.92,4.94,t,41.32,113,2020,8,38
within an hour,1,1,t,2,t,t,Entire home/apt,4,1 bath,1,2,110,2,180,4,16,39,115,219,73,5,4.94,4.94,4.99,4.98,4.98,4.96,4.92,t,5,95,2071,5,56
within an hour,1,1,t,2,t,t,Entire home/apt,3,1 bath,2,2,86,2,1125,9,11,11,11,79,8,2,4.94,4.99,4.96,4.97,5,4.87,4.96,t,2.65,87,2713,7,31
within a few hours,1,1,t,1,t,f,Entire home/apt,3,1 bath,1,2,72,2,1125,0,0,0,39,148,2,1,4.98,4.96,4.99,4.99,4.98,4.97,4.94,f,5.8,0,2948,3,26
within an hour,1,1,t,1,t,f,Entire home/apt,2,1 bath,1,1,119,3,1125,0,0,0,0,112,16,0,4.99,4.98,5,5,4.98,4.94,4.92,t,3.52,34,1631,3,37
within an hour,1,1,f,5,t,t,Private room,2,1 private bath,1,1,212,1,365,10,22,22,22,1,0,0,5,5,5,5,5,5,5,t,0.04,61,1412,7,23
within an hour,1,1,t,4,t,f,Private room,2,1.5 shared baths,1,1,50,1,90,0,0,0,2,153,34,0,4.93,4.97,5,4.93,4.96,4.91,4.91,t,3.54,101,1437,3,39
within an hour,1,1,t,4,t,f,Private room,2,1 shared bath,1,1,48,1,90,16,36,66,246,207,48,0,4.96,4.97,4.97,4.96,4.96,4.93,4.97,t,4.74,101,1437,3,37
within an hour,1,0.99,f,3,t,t,Entire home/apt,2,1 bath,1,2,148,1,1125,21,51,81,171,135,43,3,4.84,4.83,4.86,4.99,4.99,4.93,4.71,f,3.06,37,2180,8,37
within an hour,1,0.99,t,1,t,t,Entire home/apt,3,1 bath,1,2,112,2,14,2,10,27,115,304,94,8,5,4.99,5,5,5,4.89,4.95,f,19.7,46,2415,8,44
within an hour,1,0.91,t,1,t,f,Private room,2,1 private bath,1,1,85,2,30,1,1,1,1,128,7,1,4.82,4.92,4.93,4.95,4.98,4.82,4.89,f,3.25,50,1369,4,38
within an hour,1,1,t,1,t,t,Entire home/apt,3,1 bath,1,1,99,2,30,12,38,68,158,163,49,4,4.91,4.96,4.92,4.99,4.99,4.97,4.87,t,3.85,43,2535,4,26
within an hour,1,1,t,2,t,t,Entire home/apt,6,2 baths,3,3,195,2,1125,21,38,56,321,133,44,1,4.95,4.96,4.93,4.97,4.98,4.83,4.92,t,3.01,96,2231,4,28
within an hour,1,0.99,t,1,t,t,Entire home/apt,4,1 bath,2,2,95,2,1125,2,14,32,276,171,61,5,5,5,5,4.99,4.99,4.94,4.98,f,4,30,2149,5,36
within an hour,1,0.99,t,1,t,f,Entire home/apt,2,1 bath,1,1,151,3,60,0,0,0,0,170,59,7,4.95,4.96,4.99,5,4.99,4.89,4.92,f,76.12,0,1359,2,45
within an hour,1,0.86,f,1,t,t,Private room,2,1 private bath,1,1,60,1,6,5,14,14,14,66,3,3,4.91,4.95,4.97,4.98,4.98,4.86,4.82,f,1.6,112,1359,6,20
within an hour,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,1,150,30,1123,3,3,12,287,24,7,0,4.96,5,4.88,5,5,5,5,t,0.69,67,2591,6,32
within a few hours,0.9,0.98,t,0,t,t,Private room,1,1 private bath,1,1,31,2,6,3,20,24,24,54,32,6,4.87,4.89,4.89,4.98,4.93,4.89,4.89,f,28.93,39,1848,5,39
within an hour,1,0.99,t,1,t,t,Private room,2,1 private bath,1,1,76,1,7,6,19,47,106,187,60,12,4.96,4.98,4.89,4.99,4.99,4.95,4.91,f,6.77,59,1892,5,32
within an hour,1,1,t,1,t,t,Private room,2,1.5 baths,1,1,89,2,1125,15,42,54,144,54,36,3,4.98,5,5,5,5,4.98,4.87,f,11.49,95,3049,4,27
within an hour,1,1,t,1,t,f,Entire home/apt,4,1 bath,2,2,177,1,1125,7,31,55,235,476,134,8,4.88,4.91,4.83,5,5,4.99,4.81,t,30.25,80,2302,2,35
within an hour,1,1,t,4,t,t,Entire home/apt,4,3 baths,2,2,317,29,1125,1,8,37,190,74,6,1,4.97,4.92,4.97,4.99,5,4.95,4.82,t,2.82,28,3647,7,41
within an hour,1,1,t,1,t,f,Entire home/apt,6,1 bath,2,3,155,1,14,12,37,59,149,219,103,11,4.95,4.92,4.81,4.98,4.99,4.98,4.92,t,128.82,79,2694,3,31
within an hour,1,1,t,2,t,f,Entire home/apt,4,1 bath,2,2,185,2,1125,4,19,28,297,178,47,3,4.95,4.92,4.99,4.98,4.96,4.87,4.87,t,4.05,284,1484,3,35
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,2,2,140,2,7,0,5,20,20,149,40,4,4.98,5,4.98,5,4.99,4.99,4.95,f,15.05,71,1339,7,38
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,230,2,33,12,42,72,72,120,52,7,4.97,4.98,4.97,4.96,4.97,4.98,4.82,t,29.75,77,3217,4,45
within an hour,1,1,t,2,t,t,Entire home/apt,3,1 bath,1,2,107,4,1125,14,41,67,157,120,36,1,4.93,4.99,4.91,4.99,4.98,4.88,4.92,f,6.55,0,2735,7,49
within an hour,1,1,t,1,t,t,Private room,2,1 private bath,1,1,76,1,26,1,28,58,148,186,0,0,4.79,4.93,4.77,4.91,4.83,4.94,4.79,t,4.73,0,2106,6,24
within an hour,1,1,t,4,t,t,Entire home/apt,2,1 bath,1,1,114,2,28,1,1,1,106,93,15,1,5,5,4.99,5,5,4.97,4.91,f,2.14,67,1335,6,32
within an hour,1,0.98,t,2,t,t,Entire home/apt,8,2.5 baths,3,4,130,4,35,0,0,0,0,11,2,0,4.64,4.64,5,5,4.64,5,4.82,f,0.27,24,1335,8,43
within an hour,1,0.98,t,2,t,t,Private room,3,1 private bath,1,1,49,1,90,0,0,0,0,158,30,0,4.96,4.99,4.97,4.96,5,4.91,4.95,t,3.74,24,1335,8,44
within an hour,1,1,f,188,t,t,Entire home/apt,2,1 bath,1,1,110,2,1125,11,40,70,345,21,5,0,4.52,4.57,4.81,4.67,4.76,4.71,4.14,t,0.62,165,1502,4,27
within an hour,1,1,t,1,t,t,Entire home/apt,3,1 bath,1,2,138,2,21,9,28,48,138,218,57,4,4.94,4.96,4.94,5,4.99,4.86,4.92,f,7.27,102,3039,5,32
within an hour,1,1,f,1,t,t,Entire home/apt,6,1 bath,2,3,134,2,1125,10,28,53,311,119,26,2,4.9,4.88,4.92,4.96,4.92,4.88,4.87,t,4.36,27,2868,4,24
within an hour,1,1,t,1,t,t,Private room,4,1 private bath,1,3,70,1,7,0,19,49,324,314,75,7,4.97,4.98,5,4.99,4.99,4.91,4.97,t,7.49,40,2271,6,41
within an hour,1,1,t,1,t,t,Private room,2,1 private bath,1,1,54,1,1125,8,32,62,336,437,147,13,4.94,4.96,4.97,4.98,4.97,4.89,4.95,t,24.78,36,1365,5,39
within an hour,1,0.8,f,2,t,t,Entire home/apt,5,2 baths,3,3,184,3,14,0,0,15,105,24,9,0,4.79,4.92,4.54,5,5,5,4.83,t,0.59,100,1330,5,35
within an hour,1,1,t,2,t,t,Entire home/apt,4,1 bath,1,3,160,1,1125,3,10,20,20,412,97,7,4.92,4.92,4.94,4.97,5,4.97,4.9,t,14.86,122,2874,4,37
within a few hours,0.8,0.6,t,2,t,t,Entire home/apt,5,2 baths,2,3,311,4,90,8,19,39,302,19,14,3,4.94,4.89,4.83,4.94,5,5,4.78,f,0.5,0,1329,5,33
within an hour,1,1,t,2,t,t,Entire home/apt,4,1 bath,2,3,99,2,185,5,17,37,300,84,22,2,4.99,4.98,5,5,5,4.94,4.93,t,3.55,73,1386,5,40
within a few hours,1,1,t,8,t,t,Hotel room,2,1 private bath,1,1,158,1,365,7,25,48,264,24,6,0,4.96,4.87,4.96,4.91,4.83,4.91,4.83,t,6.43,0,1328,2,35
within an hour,1,1,t,1,t,t,Entire home/apt,4,2 baths,2,3,100,30,90,0,17,47,322,7,3,0,5,5,5,5,5,5,5,t,0.16,0,1327,5,46
within a few hours,0.96,0.93,t,7,t,t,Private room,1,2 shared baths,1,1,62,1,90,6,36,66,341,51,9,1,4.9,4.92,4.82,4.88,4.92,4.96,4.92,f,1.24,31,3011,8,20
within a few hours,0.8,0.6,t,2,t,t,Entire home/apt,4,1 bath,2,3,198,4,90,0,0,2,234,28,2,0,4.89,4.93,4.82,4.96,4.96,4.89,4.86,f,0.65,0,1329,5,24
within an hour,1,0.9,t,1,t,f,Entire home/apt,4,1 bath,1,2,90,1,1125,17,42,66,246,59,16,1,4.95,5,5,5,5,4.92,4.9,t,1.44,40,1323,2,39
within an hour,1,0.97,t,5,t,t,Entire home/apt,2,1.5 baths,1,1,150,1,1125,13,43,73,335,102,34,5,4.87,4.86,4.91,4.88,4.88,4.84,4.6,t,3.05,0,1322,7,22
within an hour,1,1,t,2,t,t,Entire home/apt,4,1 bath,2,2,189,2,1125,9,18,31,300,241,66,3,4.99,4.97,5,5,4.97,4.97,4.93,t,6.01,0,1953,5,18
a few days or more,0.4,0.67,f,2,t,t,Entire home/apt,2,1 bath,1,1,95,14,1125,0,3,11,101,19,12,0,4.89,4.95,4.84,4.95,5,4.95,4.89,f,0.44,0,2062,8,48
within an hour,1,0.94,t,2,t,t,Entire home/apt,2,1 bath,1,1,138,3,90,10,40,70,160,104,3,1,4.95,4.99,4.96,4.99,4.95,4.92,4.93,f,2.62,25,2283,8,30
within a few hours,1,1,t,8,t,t,Hotel room,2,1 private bath,1,1,378,1,365,8,26,49,269,22,5,0,4.91,4.86,4.91,4.91,4.91,4.95,4.68,t,1.52,0,1328,2,32
within a few hours,1,1,t,8,t,t,Private room,2,1 private bath,1,1,203,1,365,9,27,46,266,40,3,0,4.95,4.83,5,5,5,4.83,4.67,t,1.55,0,1328,2,17
within a few hours,1,1,t,8,t,t,Hotel room,2,1 private bath,1,1,289,1,365,12,38,61,278,14,3,0,4.93,4.93,5,5,5,5,4.93,t,0.35,0,1328,2,24
within a few hours,1,1,t,8,t,t,Hotel room,2,1 private bath,1,1,195,1,365,5,23,44,264,24,4,0,4.96,5,4.96,4.96,4.91,4.96,4.96,t,0.58,0,1328,2,28
within an hour,0.9,1,t,9,t,t,Entire home/apt,2,1 bath,1,1,170,1,365,7,25,30,249,49,19,2,4.84,4.94,4.88,5,4.98,4.92,4.8,t,1.14,0,2982,4,33
within an hour,1,0.99,t,4,t,t,Entire home/apt,2,1 bath,1,1,76,2,1125,12,30,60,328,54,15,1,4.76,4.91,4.85,4.98,4.94,4.69,4.78,t,1.99,0,1309,2,28
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,132,2,29,0,0,7,34,230,55,2,5,5,5,5,5,4.98,4.99,t,5.88,0,1307,7,30
within an hour,1,1,t,1,t,f,Entire home/apt,4,1 bath,1,2,82,3,31,9,31,57,57,157,50,3,4.78,4.91,4.84,4.97,4.98,4.92,4.87,t,4.28,49,1307,3,32
within an hour,1,0.83,f,3,t,t,Entire home/apt,8,2.5 baths,3,3,255,30,1125,0,0,0,0,16,3,1,4.87,4.93,5,5,5,4.8,4.67,t,0.62,52,1408,5,38
within a few hours,1,1,t,1,t,t,Entire home/apt,4,1 bath,2,2,228,29,61,0,10,40,71,86,4,0,4.81,4.87,4.91,4.95,4.97,4.81,4.72,f,1.99,18,1306,5,51
within an hour,1,0.99,t,5,t,t,Entire home/apt,3,1 bath,1,2,230,1,21,2,19,41,316,114,55,5,4.99,5,4.97,4.98,4.96,4.99,4.82,t,2.76,343,1298,7,32
within an hour,1,1,t,2,t,f,Private room,2,1 private bath,1,1,72,2,6,0,0,0,0,26,22,5,4.96,4.96,5,5,5,4.92,5,f,13.68,81,1297,2,35
within a day,1,0.97,t,1,t,t,Entire home/apt,2,1 bath,1,1,91,2,21,4,30,60,60,150,24,0,4.9,4.94,4.95,4.95,4.93,4.83,4.88,f,6.35,52,2190,6,27
within an hour,0.98,0.96,t,10,t,t,Private room,2,1 private bath,1,1,132,2,28,25,55,85,175,128,41,0,4.96,4.93,4.99,4.98,4.97,4.81,4.91,f,2.99,49,3099,4,33
within an hour,1,0.98,t,3,t,t,Entire home/apt,4,1 bath,2,2,186,3,17,12,34,61,151,63,33,2,4.9,4.89,4.83,4.97,5,4.73,4.83,f,1.65,86,2328,5,31
within an hour,1,0.97,t,1,t,t,Entire home/apt,4,1 bath,2,2,116,1,14,15,41,69,344,202,73,5,4.97,4.99,5,5,5,4.88,4.96,t,7.26,0,2113,6,33
within an hour,1,1,t,3,t,t,Entire home/apt,6,1 bath,3,3,256,2,15,14,29,43,121,250,68,3,4.98,4.99,4.99,5,5,4.76,4.95,t,9.09,107,1375,7,28
within an hour,1,0.99,t,4,t,t,Entire home/apt,2,1 bath,1,1,71,2,1125,9,20,50,325,55,19,2,4.73,4.82,4.93,4.98,4.93,4.62,4.87,t,1.7,0,1309,2,27
within an hour,1,0.95,t,1,t,t,Entire home/apt,4,2 baths,2,2,327,2,90,0,10,29,29,116,29,5,4.97,4.98,4.99,4.99,5,5,4.83,f,24.51,11,1286,7,32
within an hour,0.9,0.98,f,2,t,t,Hotel room,4,1 private bath,1,2,199,1,1125,0,0,0,139,31,0,0,4.58,4.94,4.77,4.81,4.87,4.77,4.77,t,1.2,0,1284,2,21
within an hour,1,1,t,1,t,t,Entire home/apt,8,2.5 baths,3,6,488,2,9,0,0,0,54,88,28,2,5,5,5,5,5,4.89,4.71,f,8.02,301,3151,6,19
within an hour,1,0.93,t,1,t,t,Entire home/apt,4,1 bath,1,3,105,2,21,5,28,54,54,221,77,6,4.99,4.99,5,5,5,4.97,4.97,f,8.52,15,2947,4,41
within an hour,1,0,t,1,t,f,Private room,4,1 shared bath,2,3,75,1,1125,0,0,15,15,92,0,0,4.99,4.98,4.98,5,4.93,4.96,4.92,f,3.17,32,1313,1,26
within a few hours,0.96,0.93,t,7,t,t,Private room,1,2 shared baths,1,1,52,2,90,4,22,52,327,103,17,2,4.86,4.95,4.81,4.95,4.94,4.95,4.94,f,2.47,31,3011,8,20
within an hour,1,0.94,t,2,t,t,Entire home/apt,3,2 baths,1,2,153,3,4,5,32,62,106,290,74,7,4.96,4.96,4.98,4.97,4.97,4.92,4.88,f,6.99,75,1277,6,41
within an hour,1,1,t,3,t,t,Private room,2,1 private bath,1,1,56,1,60,10,37,66,156,611,201,18,4.81,4.93,4.85,4.97,4.93,4.87,4.88,t,17.56,30,3374,9,20
within a day,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,1,45,30,120,0,0,0,0,14,1,0,5,5,4.86,5,5,4.86,4.79,f,0.34,0,2017,6,25
within an hour,1,0.93,t,1,t,f,Entire home/apt,4,1 bath,2,2,196,30,1125,12,32,57,141,33,23,4,4.97,4.91,4.97,4.94,4.94,4.94,4.88,f,0.93,0,1267,2,57
within an hour,1,0.86,t,9,t,t,Entire home/apt,7,2 baths,3,3,185,1,90,16,40,69,344,79,22,0,4.78,4.92,4.73,4.91,4.96,4.91,4.71,f,2.14,0,2026,8,33
